"Customer Name","Product Line","Product Name","Product Description","Quantity","Quantity Type","Purchase Amount (CD)","Purchase Start Date","Order Number","Contract Start Date","Contract End Date","Contract ARR (CD)","SRs","CSI#","Purchase Level","Purchase Type"
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Database Lifecycle Management Pack","Oracle Database Lifecycle Management Pack - Processor Perpetual","54","N/A","258589","2020-10-21","35096","2021-10-21","2022-10-20","59734","0","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","54","N/A","247814","2020-10-21","35096","2021-10-21","2022-10-20","57245","0","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","54","N/A","247814","2020-10-21","35096","2021-10-21","2022-10-20","57245","0","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine X6-2 Quarter Rack","Exadata Database Machine X6-2 HC Quarter Rack","1","N/A","255251","2017-05-31","35015813","2021-07-01","2022-06-30","57150","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine X6-2 Quarter Rack","Exadata Database Machine X6-2 HC Quarter Rack","1","N/A","255251","2017-05-31","35015842","2021-07-01","2022-06-30","57150","0","21207700","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Database Lifecycle Management Pack","Oracle Database Lifecycle Management Pack - Processor Perpetual","56","N/A","222810","2020-06-02","34763","2021-06-02","2022-06-20","56372","0","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Security","Oracle Advanced Security - Processor Perpetual","44","N/A","247217","2021-05-26","35727","2021-05-26","2022-05-25","54388","0","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","56","N/A","213526","2020-06-02","34763","2021-06-02","2022-06-20","54022","0","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","56","N/A","213526","2020-06-02","34763","2021-06-02","2022-06-20","54022","0","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Compression","Oracle Advanced Compression - Processor Perpetual","62","N/A","203325","2019-05-30","33673","2021-06-21","2022-06-20","53622","0","22343373","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Engineered Systems Software","Exadata Storage Server Software - with Linux Support","Exadata Storage Server Software - Disk Drive Perpetual","60","N/A","191625","2017-07-18","31975","2021-06-21","2022-06-20","52737","0","21199110","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Engineered Systems Software","Exadata Storage Server Software - with Linux Support","Exadata Storage Server Software - Disk Drive Perpetual","60","N/A","191625","2017-07-18","31976","2021-06-21","2022-06-20","52737","0","21207620","FULL USE",""
